"","LAT","LONG","class","name"
"552",56.59514,26.95213,3,"intensive"
"553",56.9081,27.09537,3,"intensive"
"554",56.56932,27.00768,3,"intensive"
"555",56.91698,27.16729,3,"intensive"
"556",56.93433,27.17539,3,"intensive"
"557",56.86058,27.17506,3,"intensive"
"558",56.94743,27.21543,3,"intensive"
"559",56.6508,27.11923,3,"intensive"
"560",56.60871,27.12654,3,"intensive"
"561",56.85197,27.23882,3,"intensive"
"562",57.12553,27.40141,3,"intensive"
"563",56.75654,27.26221,3,"intensive"
"564",56.63065,27.23765,3,"intensive"
"565",56.66541,27.25373,3,"intensive"
"566",56.73488,27.28589,3,"intensive"
"567",56.86948,27.38269,3,"intensive"
"568",56.63946,27.30911,3,"intensive"
"569",57.07343,27.51325,3,"intensive"
"570",56.72195,27.3813,3,"intensive"
"571",57.08652,21.50816,3,"intensive"
"572",56.97769,21.70826,3,"intensive"
"573",56.99218,22.71587,3,"intensive"
"574",57.30979,22.82521,3,"intensive"
"575",57.26648,21.5304,3,"intensive"
"576",57.3019,21.54144,3,"intensive"
"577",57.33731,21.55251,3,"intensive"
"578",57.12194,21.51911,3,"intensive"
"579",57.15736,21.53009,3,"intensive"
"580",57.13676,21.55722,3,"intensive"
"581",57.18988,21.57373,3,"intensive"
"582",57.26151,21.59631,3,"intensive"
"583",57.34921,21.62363,3,"intensive"
"584",56.9922,21.5459,3,"intensive"
"585",57.22237,21.61746,3,"intensive"
"586",57.3109,21.64525,3,"intensive"
"587",57.3817,21.66759,3,"intensive"
"588",56.95306,21.56691,3,"intensive"
"589",57.52894,22.05327,3,"intensive"
"590",57.23718,21.65569,3,"intensive"
"591",57.27258,21.66684,3,"intensive"
"592",57.36108,21.69481,3,"intensive"
"593",57.02184,21.62185,3,"intensive"
"594",56.87732,21.61035,3,"intensive"
"595",56.93043,21.62682,3,"intensive"
"596",56.96583,21.63782,3,"intensive"
"597",57.03662,21.65987,3,"intensive"
"598",57.1753,21.73692,3,"intensive"
"599",57.49377,21.8356,3,"intensive"
"600",57.02785,21.7574,3,"intensive"
"601",57.11633,21.78532,3,"intensive"
"602",57.41412,21.91429,3,"intensive"
"603",57.16271,21.86896,3,"intensive"
"604",57.12514,21.88868,3,"intensive"
"605",56.85681,21.83694,3,"intensive"
"606",57.34908,22.02824,3,"intensive"
"607",57.50824,22.0804,3,"intensive"
"608",56.90323,21.92053,3,"intensive"
"609",56.89497,22.01559,3,"intensive"
"610",56.96643,22.03847,3,"intensive"
"611",57.28394,22.14177,3,"intensive"
"612",56.90965,22.05365,3,"intensive"
"613",57.00968,22.15279,3,"intensive"
"614",56.91375,22.13616,3,"intensive"
"615",57.40068,22.45076,3,"intensive"
"616",56.86763,22.30673,3,"intensive"
"617",56.88951,22.35286,3,"intensive"
"618",57.2355,22.46248,3,"intensive"
"619",57.35912,22.50427,3,"intensive"
"620",57.39444,22.5163,3,"intensive"
"621",57.37365,22.54303,3,"intensive"
"622",56.91136,22.42123,3,"intensive"
"623",56.982,22.44472,3,"intensive"
"624",57.07032,22.4742,3,"intensive"
"625",57.29988,22.55169,3,"intensive"
"626",56.87313,22.44339,3,"intensive"
"627",57.00288,22.48336,3,"intensive"
"628",57.03191,22.49483,3,"intensive"
"629",57.27909,22.57834,3,"intensive"
"630",57.25827,22.60499,3,"intensive"
"631",57.29358,22.61704,3,"intensive"
"632",57.01008,22.54436,3,"intensive"
"633",57.32573,22.66182,3,"intensive"
"634",57.36103,22.67396,3,"intensive"
"635",56.86042,22.57109,3,"intensive"
"636",56.984,22.61262,3,"intensive"
"637",57.05463,22.63659,3,"intensive"
"638",57.30173,22.7211,3,"intensive"
"639",57.33703,22.73328,3,"intensive"
"640",57.37233,22.7455,3,"intensive"
"641",56.87494,22.6093,3,"intensive"
"642",57.26325,22.74158,3,"intensive"
"643",57.31616,22.76006,3,"intensive"
"644",57.35149,22.77208,3,"intensive"
"645",57.1367,22.73213,3,"intensive"
"646",57.11251,22.79063,3,"intensive"
"647",56.93286,22.76256,3,"intensive"
"648",57.07065,22.84319,3,"intensive"
"649",56.8912,22.81517,3,"intensive"
"650",56.92647,22.82726,3,"intensive"
"651",56.90563,22.85352,3,"intensive"
"652",56.95449,22.90622,3,"intensive"
"653",56.9906,22.91629,3,"intensive"
"654",57.14933,22.97153,3,"intensive"
"655",56.91058,22.92841,3,"intensive"
"656",56.9697,22.94221,3,"intensive"
"657",57.07555,22.97937,3,"intensive"
"658",57.088788,22.98621,3,"intensive"
"659",57.01941,22.99334,3,"intensive"
"660",56.89272,22.98276,3,"intensive"
"661",57.05143,23.0381,3,"intensive"
"662",57.08341,23.08288,3,"intensive"
